CMDLINE C:\Users\Sourour\AppData\Local\Programs\Python\Python311\python.exe Scraper(Motory)[SD]{Modified}.py
MEM 2.179688 1707396811.3639
MEM 19.476562 1707396811.4646
MEM 29.035156 1707396811.5651
MEM 35.968750 1707396811.6656
MEM 41.269531 1707396811.7662
MEM 47.210938 1707396811.8667
MEM 50.906250 1707396811.9670
MEM 54.910156 1707396812.0675
MEM 63.730469 1707396812.1680
MEM 64.593750 1707396812.2686
MEM 68.500000 1707396812.3688
MEM 71.953125 1707396812.4693
MEM 72.410156 1707396812.5698
MEM 75.285156 1707396812.6703
MEM 76.558594 1707396812.7708
MEM 76.566406 1707396812.8714
MEM 76.566406 1707396812.9719
MEM 76.566406 1707396813.0731
MEM 76.566406 1707396813.1736
MEM 76.566406 1707396813.2743
MEM 77.296875 1707396813.3749
MEM 77.296875 1707396813.4754
MEM 80.816406 1707396813.5761
MEM 80.824219 1707396813.6764
MEM 80.835938 1707396813.7769
MEM 80.929688 1707396813.8771
MEM 81.281250 1707396813.9778
MEM 81.644531 1707396814.0783
MEM 82.035156 1707396814.1788
MEM 82.511719 1707396814.2792
MEM 82.695312 1707396814.3797
MEM 82.812500 1707396814.4802
MEM 82.996094 1707396814.5813
MEM 83.289062 1707396814.6817
MEM 83.582031 1707396814.7826
MEM 83.859375 1707396814.8828
MEM 84.132812 1707396814.9837
MEM 84.398438 1707396815.0839
MEM 84.750000 1707396815.1841
MEM 85.085938 1707396815.2845
MEM 85.363281 1707396815.3849
MEM 85.648438 1707396815.4857
MEM 85.890625 1707396815.5862
MEM 86.234375 1707396815.6868
MEM 86.535156 1707396815.7873
MEM 86.863281 1707396815.8878
MEM 87.253906 1707396815.9884
MEM 87.597656 1707396816.0889
MEM 85.703125 1707396816.1895
MEM 85.703125 1707396816.2900
MEM 85.703125 1707396816.3905
MEM 87.171875 1707396816.4911
MEM 87.156250 1707396816.5917
MEM 87.156250 1707396816.6918
MEM 87.156250 1707396816.7925
MEM 87.156250 1707396816.8931
MEM 87.156250 1707396816.9937
MEM 87.156250 1707396817.0939
MEM 87.421875 1707396817.1945
MEM 87.921875 1707396817.2947
MEM 92.250000 1707396817.3951
MEM 92.257812 1707396817.4954
MEM 92.269531 1707396817.5955
MEM 92.277344 1707396817.6961
MEM 92.695312 1707396817.7963
MEM 93.121094 1707396817.8967
MEM 93.570312 1707396817.9969
MEM 93.960938 1707396818.0975
MEM 94.289062 1707396818.1981
MEM 94.632812 1707396818.2988
MEM 94.972656 1707396818.3990
MEM 95.351562 1707396818.4996
MEM 95.707031 1707396818.6002
MEM 96.078125 1707396818.7007
MEM 96.492188 1707396818.8012
MEM 96.851562 1707396818.9018
MEM 97.234375 1707396819.0022
MEM 97.628906 1707396819.1028
MEM 97.964844 1707396819.2035
MEM 98.339844 1707396819.3041
MEM 98.675781 1707396819.4047
MEM 99.031250 1707396819.5053
MEM 99.406250 1707396819.6057
MEM 99.792969 1707396819.7058
MEM 97.414062 1707396819.8063
MEM 97.414062 1707396819.9070
MEM 97.414062 1707396820.0075
MEM 97.414062 1707396820.1082
MEM 96.089844 1707396820.2088
MEM 96.089844 1707396820.3093
MEM 96.089844 1707396820.4098
MEM 96.089844 1707396820.5102
MEM 96.089844 1707396820.6108
MEM 96.089844 1707396820.7110
MEM 96.089844 1707396820.8114
MEM 96.089844 1707396820.9119
MEM 96.089844 1707396821.0124
MEM 96.089844 1707396821.1126
MEM 96.089844 1707396821.2131
MEM 96.089844 1707396821.3137
MEM 96.089844 1707396821.4138
MEM 96.089844 1707396821.5146
MEM 96.089844 1707396821.6151
MEM 96.089844 1707396821.7158
MEM 96.089844 1707396821.8160
MEM 96.089844 1707396821.9166
MEM 96.089844 1707396822.0172
MEM 96.089844 1707396822.1177
MEM 96.089844 1707396822.2183
MEM 96.089844 1707396822.3188
MEM 96.089844 1707396822.4196
MEM 96.089844 1707396822.5201
MEM 96.089844 1707396822.6207
MEM 96.089844 1707396822.7212
MEM 96.089844 1707396822.8219
MEM 96.089844 1707396822.9224
MEM 96.089844 1707396823.0230
MEM 96.089844 1707396823.1235
MEM 96.089844 1707396823.2241
MEM 96.089844 1707396823.3243
MEM 96.089844 1707396823.4249
MEM 96.089844 1707396823.5254
MEM 96.089844 1707396823.6260
MEM 96.089844 1707396823.7266
MEM 96.089844 1707396823.8267
MEM 96.089844 1707396823.9273
MEM 96.089844 1707396824.0278
MEM 96.089844 1707396824.1284
MEM 96.089844 1707396824.2290
MEM 96.089844 1707396824.3296
MEM 96.089844 1707396824.4302
MEM 96.089844 1707396824.5307
MEM 96.089844 1707396824.6312
MEM 96.089844 1707396824.7316
MEM 96.089844 1707396824.8321
MEM 96.089844 1707396824.9326
MEM 96.089844 1707396825.0327
MEM 96.089844 1707396825.1333
MEM 96.089844 1707396825.2338
MEM 96.089844 1707396825.3344
MEM 96.089844 1707396825.4350
MEM 96.089844 1707396825.5356
MEM 96.089844 1707396825.6361
